Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2016-05-01","France","FRA","250","Europe","150","Western Europe","155","25162000","Sandstone","Kgs","3047.5","195.12","0.29"
"2020-12-01","Spain","ESP","724","Europe","150","Southern Europe","39","90230090","Othr Demonstration Aids","Nos","0.83","4.64","0.01"
"2018-04-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","74199990","*Others","Kgs","","0.01",""
"2024-10-01","Belgium","BEL","56","Europe","150","Western Europe","155","84822011","Tappered Roller Bearings(Radial Type) <=50 Mm Or 2 Inches Bore Diameter","Nos","21161.0","0.86","0.1"
"2025-07-01","Italy","ITA","380","Europe","150","Southern Europe","39","90278990","Other","Nos","304.0","0.05","0.01"
"2020-07-01","Russian Federation","RUS","643","Europe","150","Eastern Europe","151","76121090","Collapsible Tubular Containers :Other","Kgs","5.19","56.8","0.08"
"2021-02-01","Ireland","IRL","372","Europe","150","Northern Europe","154","90015000","Spectacle Lenses Of Othr Materials","Nos","6.68","16.21","0.02"
"2021-03-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","83099020","Aluminium Caps And Closures","Kgs","2.62","22.29","0.03"
"2024-05-01","Czechia","CZE","203","Europe","150","Eastern Europe","151","39174000","Fittings For Tubes Pipes And Hoses Of Plstc","Kgs","70.0","0.01","0.0"
"2015-09-01","Luxembourg","LUX","442","Europe","150","Western Europe","155","73269099","All Other Articles Of Iron/Steel Nes Other Steering Or Rudder Equipment For Ships And Boats, N.E.S.","Kgs","0.8","0.88","0.0"
"2025-06-01","Spain","ESP","724","Europe","150","Southern Europe","39","29159092","Octoic Acid (Caprylic Acid)","Kgs","19920.0","1.04","0.12"
"2019-09-01","France","FRA","250","Europe","150","Western Europe","155","42022210","Hnd Bgs/Shppng Bgs Of Artfcl Plstc Mtrl","Nos","0.93","22.53","0.03"
"2020-07-01","Albania","ALB","8","Europe","150","Southern Europe","39","90185090","Ophthalmic Surgical Instrmnt And Appliances","Nos","0.26","0.51","0.0"
"2015-04-01","Germany","DEU","276","Europe","150","Western Europe","155","29221990","Other","Kgs","12.27","69.11","0.11"
"2017-11-01","Denmark","DNK","208","Europe","150","Northern Europe","154","30049099","Other Medcne Put Up For Retail Sale N.E.S","Kgs","9.4","166.37","0.26"
"2020-02-01","Germany","DEU","276","Europe","150","Western Europe","155","63071090","Others","Kgs","6.04","28.0","0.04"
